name,circuit_id,circuit_type,phy_diff
Australian Grand Prix,1,street,2
Malaysian Grand Prix,2,traditional,4
Bahrain Grand Prix,3,traditional,3
Spanish Grand Prix,4,traditional,2
Turkish Grand Prix,5,traditional,2
Monaco Grand Prix,6,street,3
Canadian Grand Prix,7,traditional,2
French Grand Prix,8,traditional,2
British Grand Prix,9,traditional,1
German Grand Prix,10,traditional,2
Hungarian Grand Prix,11,traditional,2
European Grand Prix,12,street,2
Belgian Grand Prix,13,traditional,2
Italian Grand Prix,14,traditional,2
Singapore Grand Prix,15,street,4
Japanese Grand Prix,16,traditional,2
Chinese Grand Prix,17,traditional,2
Brazilian Grand Prix,18,traditional,2
Abu Dhabi Grand Prix,19,traditional,3
Korean Grand Prix,20,traditional,1
Indian Grand Prix,21,traditional,2
United States Grand Prix,22,traditional,2
Austrian Grand Prix,23,traditional,2
Russian Grand Prix,24,street,2
Mexican Grand Prix,25,traditional,3
Azerbaijan Grand Prix,26,street,3
Tuscan Grand Prix,27,traditional,2
Eifel Grand Prix,28,traditional,2
Portuguese Grand Prix,29,traditional,2
Emilia Romagna Grand Prix,30,traditional,2
Qatar Grand Prix,31,street,4
Dutch Grand Prix,32,traditional,2
Saudi Arabian Grand Prix,33,street,3
Miami Grand Prix,34,street,3
Las Vegas Grand Prix,35,street,3
Indianapolis Grand Prix,36,traditional,1
Argentina Grand Prix,37,traditional,2
